,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE
15,0,180000.0,296280.0,21690.0,225000.0,0.032561,-13563,-1007,-5719.0,-4044,14.0,1,1,0,1,0,1,2.0,1,1,15,0,0,0,0,0,0,0.3441652580978948,0.6844067238529257,0.2636468134452008,0.0371,0.0361,0.9513,0.3336,0.0132,0.0,0.1379,0.125,0.1667,0.032,0.0286,0.0613,0.0077,0.0007,0.0378,0.0375,0.9513,0.3597,0.0134,0.0,0.1379,0.125,0.1667,0.0327,0.0312,0.0639,0.0078,0.0008,0.0375,0.0361,0.9513,0.3425,0.0133,0.0,0.1379,0.125,0.1667,0.0326,0.0291,0.0624,0.0078,0.0007,0.0484,2.0,0.0,2.0,0.0,-317.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0,1,0,1,6,2,4,0,1,8,5,5,2,0,5,0
18,1,225000.0,431280.0,23526.0,360000.0,0.025164,-10962,-1883,-99.0,-1721,8.0,1,1,0,1,0,1,3.0,2,2,10,0,0,0,0,0,0,0.339002380827429,0.3750732637427585,0.3474182272002641,0.1093,0.0464,0.9881,0.8368,0.0,0.12,0.1034,0.375,0.4167,0.0,0.0891,0.0986,0.0,0.0282,0.1113,0.0482,0.9881,0.8432,0.0,0.1208,0.1034,0.375,0.4167,0.0,0.0973,0.1027,0.0,0.0299,0.1103,0.0464,0.9881,0.8390000000000001,0.0,0.12,0.1034,0.375,0.4167,0.0,0.0906,0.1004,0.0,0.0288,0.0837,5.0,0.0,5.0,0.0,-1616.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,4.0,0,0,0,1,6,0,1,0,5,10,4,2,2,0,4,0
73,0,180000.0,67500.0,8140.5,67500.0,0.015221,-11819,-2612,-9781.0,-4134,3.0,1,1,0,1,1,0,2.0,2,2,12,0,0,0,0,0,0,0.3790738822416448,0.2731936266061187,0.2188590822283744,0.1485,0.1048,0.9866,0.8164,0.0569,0.16,0.1379,0.3333,0.375,0.0974,0.121,0.1539,0.0,0.0,0.1513,0.1088,0.9866,0.8236,0.0574,0.1611,0.1379,0.3333,0.375,0.0996,0.1322,0.1604,0.0,0.0,0.1499,0.1048,0.9866,0.8189,0.0573,0.16,0.1379,0.3333,0.375,0.0991,0.1231,0.1567,0.0,0.0,0.1522,3.0,0.0,3.0,0.0,-1257.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,1,0,1,6,2,4,1,1,8,0,5,2,0,4,0
86,1,225000.0,323460.0,23134.5,270000.0,0.020246,-13444,-1659,-2988.0,-4436,8.0,1,1,0,1,0,0,3.0,3,3,7,0,0,0,0,0,0,0.6581982829440185,0.3643069022857584,0.6413682574954046,0.0918,0.1513,0.9816,0.7484,0.0173,0.0,0.1379,0.1667,0.2083,0.0877,0.0748,0.097,0.0,0.0,0.0935,0.157,0.9816,0.7583,0.0175,0.0,0.1379,0.1667,0.2083,0.0897,0.0817,0.1011,0.0,0.0,0.0926,0.1513,0.9816,0.7518,0.0174,0.0,0.1379,0.1667,0.2083,0.0892,0.0761,0.0988,0.0,0.0,0.0858,3.0,0.0,3.0,0.0,-1901.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,0,1,6,2,1,1,1,8,6,30,2,0,4,0
102,0,202500.0,697500.0,33687.0,697500.0,0.015221,-8819,-852,-2751.0,-1476,4.0,1,1,0,1,1,0,2.0,2,2,8,0,0,0,0,0,0,0.1763221241783251,0.5756416907714301,0.3001077565791181,0.1072,0.0785,0.9871,0.8844,0.0683,0.12,0.1034,0.3542,0.4167,0.0354,0.0815,0.1181,0.0116,0.0143,0.105,0.0809,0.9826,0.8889,0.069,0.1208,0.1034,0.3333,0.4167,0.0363,0.0891,0.1183,0.0117,0.0151,0.1083,0.0785,0.9871,0.8859,0.0688,0.12,0.1034,0.3542,0.4167,0.0361,0.0829,0.1202,0.0116,0.0145,0.0893,0.0,0.0,0.0,0.0,-1615.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,6,2,2,1,5,14,6,6,1,0,4,0
112,1,135000.0,1024740.0,49428.0,900000.0,0.010643,-11095,-338,-4855.0,-3590,17.0,1,1,0,1,0,0,3.0,2,2,13,0,0,0,0,1,1,0.0726183845544556,0.7721212606616444,0.6092756673894402,0.0835,0.0372,0.9762,0.6736,0.0086,0.0,0.1379,0.1667,0.2083,0.0662,0.0672,0.0627,0.0039,0.0182,0.0851,0.0386,0.9762,0.6864,0.0087,0.0,0.1379,0.1667,0.2083,0.0677,0.0735,0.0653,0.0039,0.0192,0.0843,0.0372,0.9762,0.6779999999999999,0.0087,0.0,0.1379,0.1667,0.2083,0.0673,0.0684,0.0638,0.0039,0.0185,0.0532,0.0,0.0,0.0,0.0,-1596.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,6,2,1,1,1,4,5,38,1,0,5,0
206,2,450000.0,675000.0,53460.0,675000.0,0.072508,-14468,-3525,-4438.0,-3473,8.0,1,1,0,1,1,0,4.0,1,1,9,0,0,0,0,0,0,0.676367796906397,0.7094306306926429,0.622922000268356,0.0619,0.0618,0.9737,0.6396,0.0,0.0,0.1034,0.1667,0.2083,0.0,0.0504,0.0506,0.0,0.0,0.063,0.0641,0.9737,0.6537,0.0,0.0,0.1034,0.1667,0.2083,0.0,0.0551,0.0527,0.0,0.0,0.0625,0.0618,0.9737,0.6444,0.0,0.0,0.1034,0.1667,0.2083,0.0,0.0513,0.0515,0.0,0.0,0.0398,0.0,0.0,0.0,0.0,-1719.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,1,6,0,1,1,1,10,6,51,2,0,5,0
236,0,103500.0,453366.0,29101.5,400500.0,0.007305,-12308,-846,-6421.0,-4322,3.0,1,1,0,1,0,1,1.0,3,3,13,0,0,0,0,0,0,0.5425459085738482,0.6501333652273584,0.8128226070575616,0.0124,0.0,0.9722,0.6192,0.0016,0.0,0.069,0.0417,0.0833,0.0122,0.0101,0.0131,0.0,0.0,0.0126,0.0,0.9722,0.6341,0.0017,0.0,0.069,0.0417,0.0833,0.0124,0.011,0.0137,0.0,0.0,0.0125,0.0,0.9722,0.6243,0.0017,0.0,0.069,0.0417,0.0833,0.0124,0.0103,0.0133,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,-239.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,6,0,4,3,1,14,4,5,2,0,5,0
242,0,180000.0,267102.0,27499.5,247500.0,0.010006,-15677,-5857,-3670.0,-827,7.0,1,1,0,1,0,0,2.0,2,1,8,0,0,0,0,0,0,0.2126666318815114,0.2303648801563924,0.4489622731076524,1.0,0.0923,0.9935,0.9116,0.036,0.16,0.1379,0.3333,0.375,0.0794,0.1177,0.1589,0.0039,0.0151,1.0,0.0958,0.9935,0.9151,0.0363,0.1611,0.1379,0.3333,0.375,0.0812,0.1286,0.1655,0.0039,0.016,1.0,0.0923,0.9935,0.9128,0.0362,0.16,0.1379,0.3333,0.375,0.0807,0.1197,0.1617,0.0039,0.0154,0.1491,7.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,1,0,0,6,2,4,1,1,9,4,4,2,0,4,0
280,0,135000.0,265500.0,17869.5,265500.0,0.018209,-8318,-1335,-8318.0,-995,19.0,1,1,0,1,0,1,1.0,3,3,11,0,0,0,0,0,0,0.1483976415363148,0.1133063880700191,0.4722533429586386,0.067,0.075,0.9767,0.6804,0.0124,0.0,0.1379,0.1667,0.2083,0.0322,0.0538,0.0509,0.0039,0.0666,0.0683,0.0778,0.9767,0.6929,0.0126,0.0,0.1379,0.1667,0.2083,0.0329,0.0588,0.053,0.0039,0.0705,0.0677,0.075,0.9767,0.6847,0.0125,0.0,0.1379,0.1667,0.2083,0.0327,0.0547,0.0518,0.0039,0.068,0.0613,0.0,0.0,0.0,0.0,-883.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,1,6,2,4,3,5,4,4,38,2,0,5,0
